date,strategy,ticker,weight,realized_future_return,predicted_return_score,hmm_regime
2024-02-01,Static_MinVar_Top10,SLB,0.06346361826762584,0.0128802572854469,0.51157004,0
2024-02-01,Static_MinVar_Top10,VRSK,0.1854327997898169,-0.0201524489364852,0.548025,0
2024-02-01,Static_MinVar_Top10,YUM,0.25,0.0587021426305078,0.5115988,0
2024-02-01,Static_ScoreMV_Top10,APD,5.978744096030298e-16,-0.0907691245022831,0.5156368,0
2024-02-01,Static_ScoreMV_Top10,BKNG,0.0,-0.0165016591978768,0.5164085,0
2024-02-01,Static_ScoreMV_Top10,C,0.0,0.0012606822219287,0.512713,0
2024-02-01,Static_ScoreMV_Top10,FDX,0.22293861306752868,0.0192187482232331,0.5239109,0
2024-02-01,Static_ScoreMV_Top10,HAL,0.027061386932470993,0.0059270531369914,0.51851517,0
2024-02-01,Static_ScoreMV_Top10,HPQ,0.24999999999999972,0.0162404232827775,0.52758783,0
2024-02-01,Static_ScoreMV_Top10,KMB,0.24999999999999983,-0.004293814708274,0.5204677,0
2024-02-01,Static_ScoreMV_Top10,SLB,4.0218842523404785e-16,0.0128802572854469,0.51157004,0
2024-02-01,Static_ScoreMV_Top10,VRSK,0.24999999999999978,-0.0201524489364852,0.548025,0
2024-02-01,Static_ScoreMV_Top10,YUM,0.0,0.0587021426305078,0.5115988,0
2024-03-01,EqualWeight_Top10,BRK-B,0.1,0.0321535391576426,0.555394,0
2024-03-01,EqualWeight_Top10,C,0.1,0.1413667721170599,0.5319039,0
2024-03-01,EqualWeight_Top10,DD,0.1,0.1098335300283681,0.54153603,0
2024-03-01,EqualWeight_Top10,HAL,0.1,0.125810711310496,0.5495327,0
2024-03-01,EqualWeight_Top10,HUM,0.1,0.0008950432390786,0.57191855,0
2024-03-01,EqualWeight_Top10,MMM,0.1,0.2241225774379487,0.55363417,0
2024-03-01,EqualWeight_Top10,O,0.1,0.0282684653918174,0.53614104,0
2024-03-01,EqualWeight_Top10,PANW,0.1,-0.0759920004383873,0.53418046,0
2024-03-01,EqualWeight_Top10,PFE,0.1,0.0424972133882857,0.5296379,0
2024-03-01,EqualWeight_Top10,VRSK,0.1,-0.0351132313552833,0.5348731,0
2024-03-01,HMM_MinVar_Top10,BRK-B,0.25,0.0321535391576426,0.555394,0
2024-03-01,HMM_MinVar_Top10,C,0.08401012188228932,0.1413667721170599,0.5319039,0
2024-03-01,HMM_MinVar_Top10,DD,0.0,0.1098335300283681,0.54153603,0
2024-03-01,HMM_MinVar_Top10,HAL,0.03266191812817742,0.125810711310496,0.5495327,0
2024-03-01,HMM_MinVar_Top10,HUM,0.06563581220746516,0.0008950432390786,0.57191855,0
2024-03-01,HMM_MinVar_Top10,MMM,0.06688367512129262,0.2241225774379487,0.55363417,0
2024-03-01,HMM_MinVar_Top10,O,0.16648434173890247,0.0282684653918174,0.53614104,0
2024-03-01,HMM_MinVar_Top10,PANW,0.025036101300483407,-0.0759920004383873,0.53418046,0
2024-03-01,HMM_MinVar_Top10,PFE,0.13523845091378517,0.0424972133882857,0.5296379,0
2024-03-01,HMM_MinVar_Top10,VRSK,0.17404957870760443,-0.0351132313552833,0.5348731,0
2024-03-01,HMM_ScoreMV_Top10,BRK-B,0.25,0.0321535391576426,0.555394,0
2024-03-01,HMM_ScoreMV_Top10,C,0.0,0.1413667721170599,0.5319039,0
2024-03-01,HMM_ScoreMV_Top10,DD,0.014968380210908683,0.1098335300283681,0.54153603,0
2024-03-01,HMM_ScoreMV_Top10,HAL,0.22755428192970795,0.125810711310496,0.5495327,0
2024-03-01,HMM_ScoreMV_Top10,HUM,0.25,0.0008950432390786,0.57191855,0
2024-03-01,HMM_ScoreMV_Top10,MMM,0.25,0.2241225774379487,0.55363417,0
2024-03-01,HMM_ScoreMV_Top10,O,3.3382304791804616e-17,0.0282684653918174,0.53614104,0
2024-03-01,HMM_ScoreMV_Top10,PANW,0.001968277430727398,-0.0759920004383873,0.53418046,0
2024-03-01,HMM_ScoreMV_Top10,PFE,3.856696844517149e-17,0.0424972133882857,0.5296379,0
2024-03-01,HMM_ScoreMV_Top10,VRSK,0.0055090604286559194,-0.0351132313552833,0.5348731,0
2024-03-01,Static_MinVar_Top10,BRK-B,0.25,0.0321535391576426,0.555394,0
2024-03-01,Static_MinVar_Top10,C,0.024238482173161515,0.1413667721170599,0.5319039,0
2024-03-01,Static_MinVar_Top10,DD,0.0,0.1098335300283681,0.54153603,0
2024-03-01,Static_MinVar_Top10,HAL,0.010921896678480841,0.125810711310496,0.5495327,0
2024-03-01,Static_MinVar_Top10,HUM,0.12505307537682572,0.0008950432390786,0.57191855,0
2024-03-01,Static_MinVar_Top10,MMM,0.06993947296902303,0.2241225774379487,0.55363417,0
2024-03-01,Static_MinVar_Top10,O,0.23674159782277396,0.0282684653918174,0.53614104,0
2024-03-01,Static_MinVar_Top10,PANW,0.03258784286932461,-0.0759920004383873,0.53418046,0
2024-03-01,Static_MinVar_Top10,PFE,0.14336137218003137,0.0424972133882857,0.5296379,0
2024-03-01,Static_MinVar_Top10,VRSK,0.10715625993037901,-0.0351132313552833,0.5348731,0
2024-03-01,Static_ScoreMV_Top10,BRK-B,0.24999999999999994,0.0321535391576426,0.555394,0
2024-03-01,Static_ScoreMV_Top10,C,0.0,0.1413667721170599,0.5319039,0
2024-03-01,Static_ScoreMV_Top10,DD,0.0375063111231719,0.1098335300283681,0.54153603,0
2024-03-01,Static_ScoreMV_Top10,HAL,0.16189472195852397,0.125810711310496,0.5495327,0
2024-03-01,Static_ScoreMV_Top10,HUM,0.24999999999999972,0.0008950432390786,0.57191855,0
2024-03-01,Static_ScoreMV_Top10,MMM,0.24999999999999983,0.2241225774379487,0.55363417,0
2024-03-01,Static_ScoreMV_Top10,O,0.05059896691830456,0.0282684653918174,0.53614104,0
2024-03-01,Static_ScoreMV_Top10,PANW,0.0,-0.0759920004383873,0.53418046,0
2024-03-01,Static_ScoreMV_Top10,PFE,4.142955673430536e-17,0.0424972133882857,0.5296379,0
2024-03-01,Static_ScoreMV_Top10,VRSK,6.73510349243185e-17,-0.0351132313552833,0.5348731,0
2024-04-01,EqualWeight_Top10,ADP,0.1,-0.0055440842744388,0.55057794,0
2024-04-01,EqualWeight_Top10,BIIB,0.1,0.0031187365043743,0.565303,0
2024-04-01,EqualWeight_Top10,CHTR,0.1,-0.0858348923271299,0.56028074,0
2024-04-01,EqualWeight_Top10,EA,0.1,-0.0407979336307351,0.5412329,0
